DA,DB,DC,k,cC
0.0002021457,0.0002026647,0.0002201938,0.020965385,5.6034942504E-05
0.0001760153,0.0002029369,0.0002177091,0.0191164323,3.6778661772E-05
0.0001987274,0.000207417,0.0001940887,0.0196417873,5.354246311E-05
0.0002038022,0.0001970195,0.0002053603,0.0186558783,4.7413762476E-05
0.000193327,0.0001979718,0.0001876091,0.020581122,4.6390538276E-05
0.0001944127,0.0002017741,0.0002024278,0.0200066899,4.81033766308E-05
0.0001951121,0.0002011419,0.0002087709,0.0185294692,4.46141760564E-05
0.0002211922,0.000185897,0.0002059794,0.0206611391,5.62205176616E-05
0.000206853,0.0001909152,0.0001891514,0.020899413,5.0884760128E-05
0.0002047278,0.000211434,0.0002049217,0.0206310551,6.3349405884E-05
0.0002022485,0.0002204237,0.00020552,0.0192718503,6.4077737924E-05
0.0001903582,0.0001962492,0.0001817512,0.0211126816,4.47244530116E-05
0.0002252807,0.0001896858,0.000198825,0.0196888904,5.89515581932E-05
0.0001969734,0.0002174312,0.0001925974,0.0187679304,5.6738811646E-05
0.0001967866,0.0001987388,0.0002130686,0.0174676519,4.1642409252E-05
0.0002176213,0.0002122039,0.0001986517,0.0205477824,7.3515485444E-05
0.0002002748,0.0001786628,0.000201941,0.0202231179,3.82657676888E-05
0.0001978393,0.0002123657,0.0002154353,0.020356004,5.8368541744E-05
0.0001869227,0.0002087227,0.0002043545,0.0212276255,5.08687449836E-05
0.0001965273,0.0002209133,0.00017657,0.0208897061,6.54218852704E-05
0.0002001464,0.0002111462,0.0001964789,0.0194847438,5.65819405632E-05
0.0001882109,0.0002222729,0.000192733,0.0183300275,5.31002350056E-05
0.0001957648,0.0002067922,0.0002111621,0.0193314387,0.000050455
0.0002027323,0.0002045996,0.000207379,0.0187247872,5.17188778E-05
0.000204107,0.0002100473,0.000189716,0.017794782,5.3454059756E-05
0.000206107,0.0002108892,0.0001810771,0.019014019,5.8993292132E-05
0.0002019764,0.0001987451,0.0002038614,0.0208340891,5.2863111736E-05
0.0002079888,0.0002056192,0.0001996549,0.0201328815,5.98473553E-05
0.0002134811,0.0002040555,0.0001880879,0.0182374043,0.000056748
0.0002004117,0.000198306,0.0001973549,0.0192599674,4.77129073576E-05
0.0001839768,0.0001867659,0.0001990699,0.0189307697,3.21793579588E-05
